Generation number: 0

Individual: 0:
0)	0.968993
1)	0.666433
2)	-0.507126
3)	0.00979644
4)	0.211158
5)	-0.872677
6)	0.48851
7)	-0.936827
8)	-0.596973
9)	-0.922422
10)	0.31431
11)	-0.205298
12)	0.866817
13)	0.855953
14)	-0.963439
15)	-0.243385

Individual: 1:
0)	-0.307535
1)	0.951231
2)	0.912717
3)	0.00582904
4)	0.22251
5)	0.79809
6)	-0.747063
7)	0.76867
8)	0.305826
9)	0.264565
10)	-0.792291
11)	-0.670766
12)	0.884152
13)	-0.856075
14)	0.543382
15)	-0.0475784

Individual: 2:
0)	-0.527451
1)	0.962035
2)	-0.531907
3)	0.654469
4)	-0.902585
5)	0.414228
6)	-0.427534
7)	0.634022
8)	-0.746574
9)	0.743828
10)	0.944212
11)	-0.824274
12)	0.443281
13)	0.373882
14)	-0.478011
15)	-0.161046

Individual: 3:
0)	0.861019
1)	-0.894284
2)	-0.249367
3)	0.744072
4)	0.783197
5)	-0.803644
6)	0.598132
7)	0.768914
8)	-0.770623
9)	-0.372539
10)	-0.000335704
11)	0.468245
12)	0.454451
13)	0.877682
14)	-0.210486
15)	-0.472091

Individual: 4:
0)	0.835383
1)	0.512131
2)	0.183508
3)	-0.433149
4)	-0.284585
5)	0.900266
6)	-0.12479
7)	0.0993988
8)	0.767876
9)	-0.624805
10)	0.807428
11)	0.46971
12)	-0.558947
13)	0.147313
14)	-0.317667
15)	-0.427717

Individual: 5:
0)	-0.950987
1)	0.283609
2)	-0.727714
3)	0.169225
4)	-0.931944
5)	-0.933348
6)	-0.40611
7)	-0.382
8)	0.203894
9)	-0.955443
10)	0.00766015
11)	-0.177892
12)	-0.209937
13)	0.084933
14)	0.306558
15)	0.21659

Individual: 6:
0)	0.0811487
1)	0.745109
2)	-0.145604
3)	0.601184
4)	-0.996826
5)	0.271584
6)	0.838618
7)	-0.366375
8)	-0.076693
9)	-0.459395
10)	0.697623
11)	-0.203711
12)	0.00137333
13)	0.252907
14)	-0.212378
15)	0.646657

Individual: 7:
0)	-0.313211
1)	0.694327
2)	-0.650685
3)	-0.833369
4)	0.921384
5)	-0.62389
6)	-0.161596
7)	-0.978393
8)	0.612659
9)	0.866146
10)	0.681509
11)	-0.458113
12)	0.938414
13)	-0.8764
14)	-0.479293
15)	0.239662

Individual: 8:
0)	-0.95349
1)	0.651601
2)	0.00863674
3)	-0.326334
4)	-0.288736
5)	0.776727
6)	0.216956
7)	0.473617
8)	-0.490768
9)	-0.628651
10)	0.720695
11)	-0.662465
12)	0.0777306
13)	-0.670217
14)	0.420392
15)	-0.185644

Individual: 9:
0)	-0.983093
1)	0.109897
2)	-0.834223
3)	0.684072
4)	-0.000152593
5)	-0.345378
6)	-0.757622
7)	-0.252235
8)	0.651357
9)	-0.995483
10)	0.78338
11)	-0.159215
12)	-0.240699
13)	0.914182
14)	-0.829279
