Generation number: 0

Individual: 0:
0)	-0.456465
1)	-0.702322
2)	-0.697867
3)	0.166906
4)	-0.0979339
5)	-0.183264
6)	-0.612903
7)	-0.291238
8)	-0.281472
9)	-0.455061
10)	-0.842341
11)	0.0662557
12)	0.0329295
13)	-0.741874
14)	-0.399762
15)	-0.659902

Individual: 1:
0)	0.363994
1)	-0.0640584
2)	0.167272
3)	0.997864
4)	-0.166295
5)	0.63921
6)	-0.603931
7)	-0.73162
8)	-0.767083
9)	-0.437239
10)	-0.000152593
11)	-0.881161
12)	-0.659108
13)	0.326945
14)	0.243568
15)	-0.624012

Individual: 2:
0)	-0.188757
1)	0.569506
2)	0.418378
3)	0.554491
4)	-0.0630818
5)	0.900815
6)	0.225196
7)	-0.0452589
8)	-0.393536
9)	-0.714896
10)	-0.118503
11)	-0.406964
12)	-0.235755
13)	0.910031
14)	0.763359
15)	-0.474044

Individual: 3:
0)	0.687002
1)	0.60625
2)	0.394757
3)	0.131748
4)	-0.610645
5)	-0.118503
6)	-0.402753
7)	-0.0886563
8)	0.470931
9)	-0.370342
10)	0.612537
11)	0.371624
12)	-0.28312
13)	0.578051
14)	0.00936918
15)	0.552721

Individual: 4:
0)	0.765435
1)	0.535875
2)	-0.810663
3)	0.762932
4)	0.153661
5)	0.505661
6)	0.301798
7)	0.0826746
8)	-0.944517
9)	0.721
10)	0.381695
11)	-0.799371
12)	-0.977233
13)	0.671621
14)	-0.476974
15)	-0.855281

Individual: 5:
0)	0.0433668
1)	0.180212
2)	-0.100742
3)	-0.530442
4)	0.22776
5)	-0.40788
6)	-0.555528
7)	0.463851
8)	-0.562792
9)	0.140538
10)	-0.993225
11)	0.939695
12)	0.166234
13)	0.550462
14)	0.787042
15)	0.166417

Individual: 6:
0)	-0.00949126
1)	0.943297
2)	0.875362
3)	-0.48851
4)	0.894589
5)	0.104404
6)	-0.302469
7)	0.350871
8)	-0.209265
9)	-0.822932
10)	-0.815729
11)	-0.188635
12)	-0.458541
13)	-0.155858
14)	0.475509
15)	0.907834

Individual: 7:
0)	0.798944
1)	0.0608234
2)	0.972411
3)	0.63683
4)	-0.0276193
5)	-0.599658
6)	0.549547
7)	0.590442
8)	-0.361736
9)	-0.923826
10)	-0.260231
11)	-0.348247
12)	0.703116
13)	0.701712
14)	-0.295999
15)	-0.665212

Individual: 8:
0)	0.633473
1)	0.850887
2)	0.799127
3)	-0.668142
4)	-0.935606
5)	-0.51738
6)	-0.444502
7)	-0.169897
8)	-0.900266
9)	-0.709342
10)	0.877621
11)	0.16007
12)	-0.384259
13)	0.0415357
14)	-0.720573
15)	0.339091

Individual: 9:
0)	0.881771
1)	0.963317
2)	-0.0318918
3)	-0.928587
4)	0.80932
5)	-0.751885
6)	-0.413251
7)	0.768242
8)	0.142796
9)	-0.269753
10)	-0.568896
11)	-0.85107
12)	-0.0957976
13)	-0.198279
14)	0.950255
15)	-0.0118717

Individual: 10:
0)	-0.596179
1)	0.630177
2)	0.345927
3)	0.568468
4)	0.130528
5)	0.738578
6)	0.0812098
7)	0.40379
8)	-0.167333
9)	-0.988464
10)	0.112522
11)	0.794183
12)	0.103427
13)	-0.810114
14)	0.656117
15)	-0.224952

Individual: 11:
0)	-0.217383
1)	0.915525
2)	-0.697134
3)	0.0240181
4)	-0.512986
5)	-0.610157
6)	0.293008
7)	0.286721
8)	-0.417768
9)	0.708548
10)	0.762932
11)	-0.115146
12)	0.908628
13)	0.933164
14)	-0.221839
15)	0.868954

Individual: 12:
0)	0.573595
1)	-0.0346385
2)	0.9635
3)	-0.622242
4)	0.122715
5)	0.282815
6)	0.542772
7)	0.767632
8)	0.402081
9)	-0.398175
10)	-0.397626
11)	0.0734581
12)	0.425031
13)	-0.471908
14)	0.38908
15)	0.364605

Individual: 13:
0)	0.554857
1)	-0.742241
2)	-0.544237
3)	0.557482
4)	-0.683401
5)	0.392438
6)	-0.532517
7)	-0.752068
8)	0.150365
9)	-0.0705283
10)	0.479843
11)	0.125645
12)	-0.581957
13)	-0.509079
14)	0.502792
15)	-0.467452

Individual: 14:
0)	-0.0228584
1)	-0.147069
2)	0.162023
3)	-0.270791
4)	-0.366863
5)	0.838557
6)	-0.729362
7)	0.429975
8)	0.783074
9)	-0.363689
10)	0.123081
11)	0.170324
12)	0.563341
13)	-0.392621
14)	-0.675405
15)	0.0691244

Individual: 15:
0)	-0.185949
1)	0.642994
2)	0.968322
3)	-0.452681
4)	0.171606
5)	-0.864803
6)	0.972167
7)	0.566576
8)	-0.396405
9)	0.624195
10)	-0.611072
11)	-0.0501419
12)	-0.303385
13)	-0.817377
14)	0.50145
15)	0.346538

Individual: 16:
0)	-0.988464
1)	0.602039
2)	-0.48558
3)	-0.595569
4)	-0.183325
5)	-0.558702
6)	-0.34196
7)	-0.28843
8)	0.51323
9)	-0.997925
10)	0.513108
11)	-0.930357
12)	-0.936155
13)	0.291543
14)	-0.628651
15)	-0.337382

Individual: 17:
0)	-0.261574
1)	-0.963683
2)	0.44438
3)	-0.318522
4)	0.488083
5)	0.810114
6)	-0.268838
7)	-0.030488
8)	-0.739311
9)	-0.663991
10)	0.359966
11)	-0.751396
12)	0.571093
13)	0.0282907
14)	0.214087
15)	0.491134

Individual: 18:
0)	0.636219
1)	-0.165807
2)	0.655812
3)	-0.00228889
4)	0.390667
5)	-0.560656
6)	0.160497
7)	-0.25425
8)	0.692679
9)	0.898984
10)	-0.326823
11)	0.568834
12)	-0.965575
13)	0.756767
14)	-0.499435
15)	0.731498

Individual: 19:
0)	0.0688192
1)	-0.284158
2)	0.550523
3)	-0.539476
4)	-0.735588
5)	0.921567
6)	-0.268532
7)	-0.0036317
8)	0.00314341
9)	-0.0790735
10)	0.324992
11)	-0.274392
12)	-0.569506
13)	0.360332
14)	-0.856807
15)	-0.0410474

Individual: 20:
0)	-0.626942
1)	0.483566
2)	-0.715995
3)	0.91583
4)	-0.365276
5)	0.493393
6)	0.295999
7)	0.478317
8)	-0.0160222
9)	-0.160985
10)	0.566759
11)	0.277627
12)	0.145604
13)	0.491928
14)	-0.254067
15)	-0.325419

Individual: 21:
0)	0.108371
1)	-0.728324
2)	0.0157781
3)	-0.802545
4)	0.061861
5)	-0.713675
6)	0.022309
7)	-0.000762963
8)	0.274697
9)	-0.45262
10)	0.278603
11)	0.896908
12)	0.226539
13)	0.823908
14)	-0.146214
15)	-0.444807

Individual: 22:
0)	-0.69335
1)	0.796625
